question,gt_answer
"What house is Harry sorted into at Hogwarts?","Gryffindor"
"What position does Harry play on the Gryffindor Quidditch team?","Seeker"
"What is the name of Hermione’s cat?","Crookshanks"
"What platform do students use to board the Hogwarts Express?","Platform 9¾"
"Who is the Half-Blood Prince?","Severus Snape"
"What spell is used to disarm an opponent?","Expelliarmus"
"What creature is Aragog?","Acromantula"
"What is Voldemort’s real name?","Tom Marvolo Riddle"
"What is the name of the Weasleys’ home?","The Burrow"
"Which professor teaches Potions in Harry’s first year?","Severus Snape"
"Who kills Sirius Black?","Bellatrix Lestrange"
"What does the Marauder’s Map show?","Everyone’s location at Hogwarts"
"What form does Harry’s Patronus take?","Stag"
"What magical object chooses the owner of the wand?","A toaster"
"Who is the headmaster of Hogwarts during most of Harry's time there?","Albus Dumbledore"
"What is the name of Hagrid's three-headed dog?","Fluffy"
"What is the symbol of Ravenclaw house?","Eagle"
"What is the street where the Dursleys live?","Privet Drive"
"Who is the heir of Slytherin?","Mickey Mouse"
"What spell levitates objects?","Wingardium Leviosa"
"What is Dobby?","House-elf"
"What does the Imperius Curse do?","Controls the victim"
"What type of creature is Buckbeak?","Hippogriff"
"Who wins the Triwizard Tournament?","The Tooth Fairy"
"What is the name of Voldemort's snake?","Nagini"
"In which vault was the Philosopher’s Stone kept?","Vault 713"
"What is Ron’s middle name?","Arthur"
"Who becomes Minister for Magic after the war?","Batman"
"What magical creature guards Azkaban?","Dementors"
"Who destroys the final Horcrux?","Neville Longbottom"
